"","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum"
"63","2018_LOW_POLY_LP1O61_CV","Lab18",2018,"LOW","POLY","LP1","O61",0,NA,"CV","LP1","O61","OLD",39.82,24.1,6.91,4.27,"37.3",26.82,"10.05",7.1,NA,NA,NA,0,"CV","LOW_POLY","LP1O61"
"64","2018_LOW_POLY_LP1O77_CV","Lab18",2018,"LOW","POLY","LP1","O77",0,NA,"CV","LP1","O77","OLD",37.93,29,7.67,4.95,"48.08",30.19,"12.78",16.78,NA,NA,NA,0,"CV","LOW_POLY","LP1O77"
"65","2018_LOW_POLY_LP1O85_CV","Lab18",2018,"LOW","POLY","LP1","O85",0,NA,"CV","LP1","O85","OLD",30.59,24.19,8.05,3.91,"35.85",28.98,"12.14",8.08,NA,NA,NA,0,"CV","LOW_POLY","LP1O85"
"66","2018_LOW_POLY_LP1W16_IR","Lab18",2018,"LOW","POLY","LP1","W16",0,NA,"IR","LP1","W16",NA,42.06,24.51,16.35,7.47,"42.74",23.37,"16.36",9.09,NA,NA,NA,0,"IR","LOW_POLY","LP1W16"
"67","2018_LOW_POLY_LP1W38_IR","Lab18",2018,"LOW","POLY","LP1","W38",0,NA,"IR","LP1","W38",NA,40.66,23.3,16.65,7.9,"43.3",24.4,"15.1",8.83,NA,NA,NA,0,"IR","LOW_POLY","LP1W38"
"68","2018_LOW_POLY_LP1W6_IR","Lab18",2018,"LOW","POLY","LP1","W6",0,NA,"IR","LP1","W6",NA,50.5,28.95,21.56,14.66,NA,NA,NA,NA,NA,NA,NA,0,"IR","LOW_POLY","LP1W6"
"69","2018_LOW_POLY_LP1W97_IR","Lab18",2018,"LOW","POLY","LP1","W97",0,NA,"IR","LP1","W97",NA,41.23,24.53,14.96,6.67,"43.5",25,"16.1",10.61,NA,NA,NA,0,"IR","LOW_POLY","LP1W97"
"70","2018_LOW_POLY_LP1Y12_IR","Lab18",2018,"LOW","POLY","LP1","Y12",0,NA,"IR","LP1","Y12",NA,35.78,21.62,12.81,4.18,"40.4",21.6,"13.7",7.1,NA,NA,NA,0,"IR","LOW_POLY","LP1Y12"
"71","2018_LOW_POLY_LP1Y43_CV","Lab18",2018,"LOW","POLY","LP1","Y43",0.5,NA,"CV","LP1","Y43","OLD",29.53,22.37,5.112,2.31,"41.3",25.29,"10.13",8.89,NA,NA,NA,0.5,"CV","LOW_POLY","LP1Y43"
"72","2018_LOW_POLY_LP51_MB","Lab18",2018,"LOW","POLY","LP5","1",4,NA,"LP","LP5","1",NA,NA,NA,NA,NA,"19.15",15.34,"5.37",0.68,"0",0,0,4,"LP","LOW_POLY","LP51"
"73","2018_LOW_POLY_LP52_MB","Lab18",2018,"LOW","POLY","LP5","2",3,NA,"LP","LP5","2",NA,NA,NA,NA,NA,"15.07",11.1,"5.68",0.48,"0",0,0,3,"LP","LOW_POLY","LP52"
"74","2018_LOW_POLY_LP53_MM","Lab18",2018,"LOW","POLY","LP5","3",0,NA,"AM","LP5","3",NA,NA,NA,NA,NA,"12.53",8.68,"4.2",0.27,"0",0,0,0,"AM","LOW_POLY","LP53"
"75","2018_LOW_POLY_LP5G15_CV","Lab18",2018,"LOW","POLY","LP5","G15",0,NA,"CV","LP5","G15","OLD",34.27,25.92,8.17,3.64,"42.03",25.44,"8.83",8.78,"0",0,0,0,"CV","LOW_POLY","LP5G15"
"76","2018_LOW_POLY_LP5G9_CV","Lab18",2018,"LOW","POLY","LP5","G9",0.5,NA,"CV","LP5","G9","OLD",37.55,21.94,8.17,3.87,"48.33",30.58,"12.13",12.8,NA,NA,NA,0.5,"CV","LOW_POLY","LP5G9"
"77","2018_LOW_POLY_LP5O45_CV","Lab18",2018,"LOW","POLY","LP5","O45",0.5,NA,"CV","LP5","O45","OLD",36.93,34.14,9.98,6.91,"43.32",29.06,"11.8",10.88,"0",0,0,0.5,"CV","LOW_POLY","LP5O45"
"78","2018_LOW_POLY_LP5O51_CV","Lab18",2018,"LOW","POLY","LP5","O51",1,NA,"CV","LP5","O51","OLD",41.67,30.79,9.77,8.84,"48.25",32.51,"13.82",17.11,"0",0,0,1,"CV","LOW_POLY","LP5O51"
"79","2018_LOW_POLY_LP5O78_CV","Lab18",2018,"LOW","POLY","LP5","O78",0.5,NA,"CV","LP5","O78",NA,NA,NA,NA,NA,"47.2",25.58,"10.15",10.21,"0",0,0,0.5,"CV","LOW_POLY","LP5O78"
